
> yckf-admin-dashboard@0.1.0 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.91.1:3000
✓ Ready in 606ms

 GET /api/users 200 in 75ms (next.js: 46ms, application-code: 29ms)
 GET /api/users 200 in 45ms (next.js: 4ms, application-code: 41ms)
 GET /dashboard/site-stats 200 in 44ms (next.js: 17ms, application-code: 26ms)
 GET /api/site-stats/admin 200 in 70ms (next.js: 47ms, application-code: 23ms)
 GET /dashboard/notifications 200 in 80ms (next.js: 53ms, application-code: 27ms)
 GET /api/notifications 200 in 91ms (next.js: 63ms, application-code: 28ms)
 GET /api/notifications 200 in 40ms (next.js: 5ms, application-code: 36ms)
 GET /dashboard/notifications 200 in 119ms (next.js: 9ms, application-code: 110ms)
 GET /api/notifications 200 in 18ms (next.js: 4ms, application-code: 14ms)
 GET /api/auth/me 200 in 38ms (next.js: 6ms, application-code: 32ms)
 GET /dashboard/login-logs 200 in 29ms (next.js: 4ms, application-code: 25ms)
 GET /api/admin/login-logs/stats 200 in 30ms (next.js: 5ms, application-code: 25ms)
 GET /api/admin/login-logs?page=1&limit=20 200 in 29ms (next.js: 5ms, application-code: 24ms)
 GET /dashboard/login-logs 200 in 73ms (next.js: 4ms, application-code: 68ms)
 GET /api/auth/me 200 in 32ms (next.js: 5ms, application-code: 27ms)
 GET /api/admin/login-logs/stats 200 in 21ms (next.js: 3ms, application-code: 18ms)
 GET /api/admin/login-logs?page=1&limit=20 200 in 25ms (next.js: 8ms, application-code: 16ms)
 GET /api/admin/login-logs 401 in 13ms (next.js: 3ms, application-code: 10ms)
[?25h

C:\Users\brigh\Downloads\Compressed\yckf-main\dashboard>
